competence,chi2_score,p_value
Spark,514.1316517428861,7.10709837061773e-109
Big Data,463.2735763065804,6.726753204650976e-98
Deep Learning,418.26758687436137,3.423409602305524e-88
Scala,352.7441879561387,4.490241821547152e-74
Machine Learning,312.60242085908095,1.953058539737678e-65
GCP,307.07447847285204,3.016786404573117e-64
Hadoop,300.669399162258,7.190319815207252e-63
MLOps,280.71528097360806,1.3973400483085805e-58
CI/CD,278.6470807045389,3.887076407446687e-58
NLP,276.1434400982254,1.3410479778815402e-57
aws,266.5908941273559,1.5100371067074466e-55
AWS,266.5908941273559,1.5100371067074466e-55
Datalake,252.90802077474046,1.3065472853684181e-52
Python,241.68215937481114,3.34542465952833e-50
DBT,237.1201455653014,3.182504559196829e-49
Kafka,227.4159401386067,3.8284465131746733e-47
Databricks,224.09977496384838,1.9662280007119816e-46
Azure,216.47344697089483,8.458992814477515e-45
Scikit-learn,216.1131531837025,1.0103696586652148e-44
MLflow,216.07671700562392,1.0286875470728931e-44
Data engineer,198.1904203312107,6.926231250036018e-41
Transformers,192.4572635365008,1.1654897351673362e-39
Intelligence artificielle,187.70539273811477,1.2085043436366205e-38
PyTorch,176.71524073019975,2.690633561083472e-36
Excel,173.86769821548478,1.0907568555202701e-35
Power BI,168.2228715007813,1.7467697377841808e-34
BigQuery,159.80350434198135,1.0900223708246299e-32
TensorFlow,157.39364899009072,3.555938489228568e-32
Kubernetes,154.1338168302437,1.7593725826621205e-31
Pandas,148.5725410828291,2.687501447125803e-30
Talend,140.06766570478038,1.7309584640177249e-28
Linux,139.0241070317266,2.8846304267259625e-28
Docker,136.69768402302668,9.003915161759487e-28
docker,136.69768402302668,9.003915161759487e-28
snowflake,131.00883689112737,1.4536796814835782e-26
Snowflake,131.00883689112737,1.4536796814835782e-26
java,129.28737119207958,3.371280565038068e-26
JAVA,129.28737119207958,3.371280565038068e-26
Java,129.28737119207958,3.371280565038068e-26
Qlik Sense,129.0635243213751,3.7608939730693105e-26
Qlik,125.6553967066002,1.9869852405282027e-25
Anglais technique,125.18287980741191,2.5025622538210974e-25
LangChain,122.82137864083813,7.924472447316708e-25
Tableau,122.35526440411313,9.948300430077734e-25
Plotly,121.51415712757661,1.4995896469741692e-24
NumPy,119.80305819326944,3.454985466376734e-24
Git,115.7344843416514,2.510713244126901e-23
R,114.70489103483521,4.1461913621063064e-23
Looker,103.44669595566785,9.91429606559782e-21
LLM,100.17253857939407,4.860620515605828e-20
Informatique industrielle,99.31699438614349,7.361969189977093e-20
Airflow,95.86299553628824,3.9303311315256284e-19
