offre_id,title,description,source_name
2010,ARCHITECTE LOGICIEL - H/F,"Description :


Vous souhaitez rejoindre des équipes agiles et dynamiques sur des projets innovants et ambitieux ? Explorer de nouvelles technologies ? Evoluer sur des projets transverses et variés autour des 5 secteurs d’activité de CLS ?

Ceci est possible AU SEIN DE NOTRE DIRECTION « ADVANCE TECH » dont le défi pour soutenir la croissance de CLS est de bâtir un socle solide et partagé au sein du groupe CLS pour l’ensemble de ses systèmes et services actuels et futurs !

Alors, rejoignez-nous et participez à une véritable mutation technologique et méthodologique avec la mise en place d’équipes agiles et de sprints rapides pour déployer nos innovations. L’occasion de monter en compétences et d’explorer de nouvelles technologies pour contribuer au succès des différents projets.

CE QUE NOUS ATTENDONS DE VOUS :

	* Définir et piloter des architectures techniques innovantes en évaluant les risques et les contraintes (qualité, coût, délai),
	* Participer à l’élaboration des solutions techniques, à leur évaluation et superviser leur consistance,
	* Accompagner les décisions technologiques,
	* Assurer la tenue des engagements techniques et calendaires,
	* Assurer la veille technologique pour s’inscrire dans une logique d’amélioration continue,
	* Appliquer les principes de la démarche Agile
	* Faire vivre le référentiel d’architecture et garantir le maintien de la documentation

 

ENVIRONNEMENT TECHNIQUE :

·         ARCHITECTURE : Cloud, IAC, µServices, C4model, BigData

·         COMMUNICATION : API GraphQL & REST, Kafka

·         LANGAGES : Java (Quarkus), Python, React

·         DEVSECOPS : Docker, Helm, K8S, Terraform, Gitlab CI/CD, Nexus, Sonar, Trivy

·         CLOUD: AWS (EKS, CloudFront, …), Azure, Wekeo

·         STOCKAGE : PostgreSQL/Postgis, S3, Parquet

·         ENVIRONNEMENT DE TRAVAIL : Windows ou Linux, O365, Git, JIRA, Confluence

·         LANGUES : FRANÇAIS : Maitrise courante, ANGLAIS : Maitrise technique

·         IA : Une connaissance serait un plus : MLOps, Machine Learning, Deep Learning, GenAI, RAG, MCP

		
		
Profil recherché :
		
		
De formation supérieure, vous avez deja une premiere experience dans un poste similaire.

D’un point de vue technique, vous devez maitriser les langages java, python et React.

Vous avez de bonnes connaissances sur les technologies et outils de dernière génération autour des micro-services dans un éco-système devOps : Docker, K8S, Terraform, Gitlab CI/CD, Trivy, Nexus, Sonar, et AWS

Votre environnement de travail sera Linux et Git, avec l’outil JIRA.

Ce poste vous donnera l’occasion de monter en compétence et d’explorer de nouvelles technologies pour contribuer au succès des différents projets.

 

Vous aimez les challenges, vous avez l’esprit d’équipe, vous aimez innover et créer, votre rigueur, votre sens du service, vos capacités d'analyse et d'écoute font de vous quelqu’un d’autonome et de bon communiquant.

Demain, avec l’ensemble des équipes de CLS, nous rendrons ces systèmes plus efficients et utilisés par le plus grand nombre, venez rejoindre l’aventure !
",France Travail
2228,ARCHITECTE LOGICIEL .NET - ÉDITEUR DE LOGICIEL (H/F),"Nous recherchons pour le compte de notre client, Éditeur de logiciel de 100 personnes, un Architecte Logiciel .NET (HF)Rattaché(e) à la Direction technique, vous évoluerez au sein d'une équipe dynamique composée de 2 architectes pour définir l'architecture des futures versions produits.

A ce titre, vos tâches, seront les suivantes :

- Réaliser un audit des performances, de la sécurité et de la fiabilité, des systèmes existants,
- Analyser sur le plan technique, les dysfonctionnements et les points d'optimisation de l'architecture technique et logicielle,
- Mesurer les impacts stratégiques du projet et en déduire le plan d'action (objectifs, méthodes, procédures...),
- Proposer différentes solutions d'optimisation à intégrer dans les futures versions des produits,
- Concevoir une architecture modulaire des progiciels,
- Etudier la faisabilité et gestion des différents projets d'évolutions en réalisant des maquettes,
- Mettre à disposition des normes de développement et des « bonnes pratiques »,
- Effectuer le support et l'accompagnement des équipes de développement (environ 30 développeurs)
- Assurer une veille technologique

En fonction de votre profil, une évolution en tant que Responsable du service peuvent être envisagée.

Stack Technique : Plateforme .NET, microservices, docker, flutter, Angular, Sql server, Oracle, Elastic search

Ce poste sédentaire est basé à Saint-Herblain en contrat avec possibilité d'effectuer jusqu'à 3 jours de télétravail par semaine.
La rémunération sera à définir en fonction de votre profil : entre 55 et 65K€
D'autres avantages viennent compléter cette rémunération fixe comme la prime participation, prime de vacances, mutuelle, Tickets restaurants…",France Travail
2009,ARCHITECTE LOGICIEL 5G (F/H) (H/F),"Architecte logiciel 5G (F/H) dans le cadre d'une création de poste. Localisation : Toulouse Télétravail : 2 jours par semaine possible Salaire : Aux alentours des 65/70K selon profil (hors avantages entreprise) Parcours de formation et d'intégration sur mesure et complet à l'arrivéeIntégrez le Centre de Compétences Digital Solution (CCDS) France, leader dans le développement de logiciels de vol pour satellites dans les domaines de la Télécom, de l'Observation et de la Science. Nos logiciels critiques en temps réel fonctionnent 24/7 pendant plus de 15 ans, et assurent des fonctions vitales pour plus de 150 satellites en vol actuellement ! Les logiciels de vol sont au cur des solutions satellitaires, garantissant flexibilité et performance tout au long de leur durée de vie. Avec l'essor des constellations de satellites en orbite basse, les défis techniques associés aux logiciels embarqués foisonnent et offrent des opportunités uniques de croissance et d'innovation. Participez à un projet innovant et structurant, au sein d'une équipe multidisciplinaire et internationale où vous : - Rédigerez des spécifications techniques détaillées. - Contribuerez à l'architecture et à la réalisation technique pour atteindre les objectifs de performance « end to end » du déploiement de la solution Access 5G NTN. - Ferez interface technique entre notre société et nos partenaires de développement. - Intégrerez et optimiserez les fonctions gNodeB dans le produit final. QUI ÊTES-VOUS ? Diplômé d'une école d'ingénieur ou d'un cursus universitaire (Bac+5) avec une solide expérience dans les réseaux, ce poste est fait pour vous ! La réalisation d'une thèse sur cette thématique est un réel atout. Vous êtes passionné par les réseaux et la technologie 5G ? Vous souaitez rejoindre une équipe dynamique au cur de l'innovation spatiale et télécom ? Vous maîtrisez la conception et le développement logiciel pour les architectures Telecom 5G, avec une expertise particulière sur les couches L2/L3 des gNodeB ? Vous avez de l'expérience en contexte Agile. Vous êtes à l'aise avec le système d'exploitation Linux et la solution DPDK (Data Plane Development Kit) (Des connaissances en électronique et en technologies FPGA seraient un plus appréciable) Un anglais opérationnel tant à l'écrit et à l'oral est nécessaire. Vous êtes reconnu pour votre bon relationnel et vos compétences rédactionnelles. Vous vous reconnaissez ? Alors ce poste est fait pour vous !",France Travail
2016,ARCHITECTE LOGICIEL 5G (H/F),"Architecte logiciel 5G (F/H)
dans le cadre d'une création de poste.

Localisation : Toulouse
Télétravail : 2 jours par semaine possible
Salaire : Aux alentours des 65/70K€ selon profil (hors avantages entreprise)
Parcours de formation et d'intégration sur mesure et complet à l'arrivéeIntégrez le Centre de Compétences Digital Solution (CCDS) France, leader dans le développement de logiciels de vol pour satellites dans les domaines de la Télécom, de l'Observation et de la Science. Nos logiciels critiques en temps réel fonctionnent 24/7 pendant plus de 15 ans, et assurent des fonctions vitales pour plus de 150 satellites en vol actuellement !
Les logiciels de vol sont au cœur des solutions satellitaires, garantissant flexibilité et performance tout au long de leur durée de vie. Avec l'essor des constellations de satellites en orbite basse, les défis techniques associés aux logiciels embarqués foisonnent et offrent des opportunités uniques de croissance et d'innovation.

Participez à un projet innovant et structurant, au sein d'une équipe multidisciplinaire et internationale où vous :
- Rédigerez des spécifications techniques détaillées.
- Contribuerez à l'architecture et à la réalisation technique pour atteindre les objectifs de performance « end to end » du déploiement de la solution Access 5G NTN.
- Ferez interface technique entre notre société et nos partenaires de développement.
- Intégrerez et optimiserez les fonctions gNodeB dans le produit final.",France Travail
1243,ARCHITECTE LOGICIEL APPLICATIF - H/F,"Description :


Au sein d'une équipe de 9 personnes, tu es l'un des garants de l'évolution de l'architecture logicielle pour l'ensemble de nos applicatifs.

TES MISSIONS, EN COLLABORATION AVEC L'ÉQUIPE :

	* Concevoir, définir et pousser la stratégie d’architecture produit et ses bonnes pratiques
	* Faire évoluer régulièrement notre socle technique pour garantir stabilité, performance et sécurité de nos produits
	* Réaliser des prototypes et de la veille technologique
	* Former, conseiller et guider les développeurs dans leurs choix d’architecture et de conception
	* Étudier les impacts techniques des évolutions et proposer des solutions adaptées
	* Participer à l’amélioration de notre usine logicielle afin d’optimiser nos processus d’intégration et de déploiement (CI/CD)
	* Soutenir les processus de support et d’édition logicielle en fournissant les outils et bonnes pratiques nécessaires
	* Participer à la résolution des incidents clients et proposer des actions préventives

TES COMPÉTENCES TECHNIQUES :

	* Langages & Frameworks : Java, Jakarta EE, SpringBoot, Angular
	* Serveurs d’applications : WildFly, Tomcat
	* Architecture : Microservices, Monolithique,
	* Sécurité : Keycloak, OAuth2, OpenID Connect, gestion des identités et des accès (IAM), protection des API
	* Bases de données : Oracle, PostgreSQL (SQL & NoSQL)
	* DevOps & CI/CD : Jenkins, GitLab CI/CD
	* Conteneurisation & Orchestration : Docker, Kubernetes
	* Système : maitriser les environnements Linux

CE QUE NOUS OFFRONS :

	* Un parcours d'intégration complet pour être autonome rapidement
	* Un environnement où l'humain et l'innovation sont au cœur des échanges

PRÊT(E) À RELEVER LE DÉFI ? POSTULE ET DEVIENS UN ACTEUR CLÉ DE LA TRANSFORMATION DIGITALE DES ÉTABLISSEMENTS HOSPITALIERS !

 

		
		
Profil recherché :
		
		
TON PROFIL :

Passionné(e) par la tech et l'innovation, tu es toujours en quête de nouvelles solutions et à l'affût des évolutions technologiques.

Issu(e) d’une formation Bac +5 en informatique (école d’ingénieur ou équivalent), tu justifies d’une expérience significative en développement et architecture logicielle.

Architecte ou Lead Tech, tu as déjà pris des décisions structurantes sur des projets,  accompagné des choix technologiques stratégiques.

Bonus : Une expérience sur des projets liés à l’IA ou une sensibilité aux enjeux de l’intelligence artificielle serait un vrai plus !

DÉROULEMENT DES ENTRETIENS ET PROCESSUS DE RECRUTEMENT

Au programme : des échanges, pas de questions pièges !

L’enjeu est de comprendre le fonctionnement et les valeurs de CPage. De te projeter avec nous et de nous présenter ton parcours et tes attentes pour ton prochain poste.

	* Echange téléphonique avec Caroline, notre chargée de recrutement, pour faire le point sur tes attentes, répondre à tes questions et valider les prérequis de ton profil
	* Entretien technique avec Mau 
	* Entretien avec Raphael, Manager de l'équipe et Caroline DAY pour les Ressources Humaines
	* Une seule question : sommes nous compatible ?

",France Travail
4314,Alternance - Conducteur d'équipements industriels en alternance H/F,"Détails de l'emploi
Type de poste
Stage
Temps plein
&nbsp;
Lieu
Sainte-Florine (43)
&nbsp;
Avantages
Extraits de la description complète du poste
Comité d’entreprise (CE)
Restaurant d'entreprise
&nbsp;
Description du poste
Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.
Intégré(e) au service R&D Projets et rattaché(e) à un chef de projets, vous évoluerez au sein d’une équipe de 4 personnes.
Les missions :
Développer un outil de gestion et de suivi de portefeuille projets avec outils d'alerte et de reporting automatisés.
Construire la base de données (avec le support du chef de projet et du business controller)
Adapter un outil à la demande de structuration des appels d'offres
Gestion et échange avec les plateformes et les centres de développement.
Profil recherché :
École d’ingénieur / Business School Bac +4/5
Vous faites preuve d’esprit de synthèse, de capacités organisationnelles, de proactivité, de curiosité et d’autonomie. Un bon esprit d’équipe est nécessaire.
Compétences :
Connaissance du milieu industriel
Bonne maîtrise de la suite Google
Google Studio
Excel niveau avancé
Maîtrise de SAP
Informations complémentaires :
Date de Début : février/mars 2026
Durée : 4 à 6 mois
Avantages : Prise en charge d’une partie des frais de transport, restaurant d’entreprise, avantages Comité d’Entreprise.
Job:
R&D Trainee/Apprentice/VIE
Organization:
Site R&D
Schedule:
Full time
Employee Status:
Trainee (durée déterminée) (stagiaire)
Job Type:
Trainee paid
Job Posting Date:
2025-12-18
Join Us !
Being part of our team, you will join:
one of the largest global innovative companies, with more than 20,000 engineers working in Research & Development
a multi-cultural environment that values diversity and international collaboration
more than 100,000 colleagues in 31 countries... which make a lot of opportunity for career growth
a business highly committed to limiting the environmental impact if its activities and ranked by Corporate Knights as the number one company in the automotive sector in terms of sustainable development

More information on Valeo: https://www.valeo.com
&nbsp;",Indeed
2346,Architecte Logiciel (F/H),"
             Le poste en quelques mots Atos souhaite renforcer ses équipes en recrutant un Architecte logiciel pour ses équipes d'Atos à Sophia-Antipolis (06).   Ce que vous allez faire si vous nous rejoignez   Activité importante de support technique aux développeurs. Diagnostic de l’architecture logicielle existante d’un périmètre du Système d’Information au regard des besoins métier de changement. Définition de l'architecture logicielle cible d'un périmètre du Système d'Information. Accompagnement des travaux de conception et de développement informatique réalisés par les développeurs montée en compétence des équipes projets, respect des normes et standard. Définition et mise en œuvre d'une démarche de contrôle continu de la qualité logicielle. Veille technologique   Votre profil  Architecte très technique, pouvant être Tech Lead expérimenté. Vous possédez un diplôme d'ingénieur ou équivalent Bac +5 et avez une expérience sur un poste similaire.Vous parlez anglais couramment. Compétences requises  Méthode Agile (SCRUM). Expert Java et Angular, Vaadim, Springbatch. Anglais courant. Nos conditions et programmes internes  Possibilité de travailler de façon hybride (télétravail jusqu’à 3 jours par semaine) Tickets-restaurant (valeur faciale de 10€, 60% pris en charge par l’employeur) Événements d'intégration et autres événements internes. Disponibilité de tous vos congés et RTT dès votre arrivée. Fourchette de salaire: Entre 50K et 60K selon expérience Programme de cooptation jusqu’à 2750 € de prime. Accès aux activités sociales et culturelles. Aide à la mobilité durable (vélo et covoiturage) Votre futur professionnel chez Atos  Des opportunités de développement professionnel et d’évolution de carrière. Plus de 600 formations certifiantes et plateforme e-learning. Un accompagnement de proximité.  Prêt à vous lancer dans cette aventure passionnante avec nous ? Saisissez votre chance et postulez ! #LI-France  
            ",France Travail
2349,Architecte Logiciel (H/F),"Le poste en quelques mots Atos souhaite renforcer ses équipes en recrutant un Architecte logiciel pour ses équipes d'Atos à Sophia-Antipolis (06).   Ce que vous allez faire si vous nous rejoignez   Activité importante de support technique aux développeurs. Diagnostic de l’architecture logicielle existante d’un périmètre du Système d’Information au regard des besoins métier de changement. Définition de l'architecture logicielle cible d'un périmètre du Système d'Information. Accompagnement des travaux de conception et de développement informatique réalisés par les développeurs montée en compétence des équipes projets, respect des normes et standard. Définition et mise en œuvre d'une démarche de contrôle continu de la qualité logicielle. Veille technologique   Votre profil  Architecte très technique, pouvant être Tech Lead expérimenté. Vous possédez un diplôme d'ingénieur ou équivalent Bac +5 et avez une expérience sur un poste similaire.Vous parlez anglais couramment. Compétences requises  Méthode Agile (SCRUM). Expert Java et Angular, Vaadim, Springbatch. Anglais courant. Nos conditions et programmes internes  Possibilité de travailler de façon hybride (télétravail jusqu’à 3 jours par semaine) Tickets-restaurant (valeur faciale de 10€, 60% pris en charge par l’employeur) Événements d'intégration et autres événements internes. Disponibilité de tous vos congés et RTT dès votre arrivée. Fourchette de salaire: Entre 50K et 60K selon expérience Programme de cooptation jusqu’à 2750 € de prime. Accès aux activités sociales et culturelles. Aide à la mobilité durable (vélo et covoiturage) Votre futur professionnel chez Atos  Des opportunités de développement professionnel et d’évolution de carrière. Plus de 600 formations certifiantes et plateforme e-learning. Un accompagnement de proximité.  Prêt à vous lancer dans cette aventure passionnante avec nous ? Saisissez votre chance et postulez ! #LI-France  ",France Travail
4256,Architecte Logiciel (H/F),"Détails de l'emploi
Type de poste
CDI
&nbsp;
Lieu
26000 Valence
&nbsp;
Avantages
Extraits de la description complète du poste
Programme de recommandation
Intéressement et participation
Compte épargne-temps
Titre restaurant
RTT
&nbsp;
Description du poste
Vous êtes passionné(e) d'architecture logicielle ?

Rejoignez notre équipe basée à Valence et participez à la conception de solutions logicielles innovantes au cœur de projets industriels à forte valeur technologique. En tant qu’architecte logiciel, vous jouerez un rôle clé dans la définition des architectures, la structuration des composants et l'accompagnement des équipes de développement.

Vos missions

Définir l’architecture logicielle des projets en collaboration avec les équipes métier, techniques et R&D.

Modéliser les solutions à l’aide d’UML et de schémas d'architecture détaillés.

Garantir la cohérence technique, la qualité du code et la bonne application des design patterns.

Participer aux choix technologiques, à la structuration des modules et à la rédaction des normes de développement.

Réaliser des revues techniques et contribuer à la résolution de problèmes complexes.

L'agence de rattachement de cette offre se situe à Valence.

L'agence de rattachement de cette offre se situe à Valence. Profil Recherché

Vous êtes diplômé(e) d’un BAC+5 et justifiez d’au moins 3 ans d'expérience en architecture logicielle ou conception avancée . Vous maîtrisez parfaitement les concepts fondamentaux du génie logiciel et disposez d’une première expérience significative en environnement industriel ou R&D.

Compétences attendues

Minimum 3 ans d’expérience en conception ou architecture logicielle.

Maîtrise des design patterns, de la POO, des principes de conception avancés (SOLID, clean architecture…).

Excellente capacité de modélisation via UML.

Capacité à appréhender une base de code existante en C++.

Première expérience dans une R&D industrielle.

Capacité à produire des documentations techniques claires et structurées.

Qualités personnelles

Rigueur, méthode et sens du détail.

Esprit d’analyse et capacité à comprendre les systèmes complexes.

Bon relationnel et capacité à faire collaborer plusieurs équipes.

Leadership technique et pédagogie pour accompagner les développeurs.

Curiosité, veille technologique et goût pour l’innovation.

Ce poste vous correspond ?

Cliquez sur le bouton jaune ""Postuler"" en haut à droite et suivez le process.

On analyse votre profil et un/une manager réalise le premier contact par téléphone (10mn)

Premier entretien avec le/la manager que vous avez eu au téléphone pour vous présenter l'entreprise et les projets. Idéalement dans nos locaux ou alors en visio-conférence (1h)

Entretien technique avec le/la Tech lead du pôle. N'oubliez pas de vous préparer pour quelques exercices techniques (1h)

Dernier entretien avec le Responsable d’agence. C'est l'occasion de se projeter sur le long terme et d'évoquer tout ce que vous pourriez trouver chez nous (1h)

Notre recrutement c'est 5 étapes, 3h étalées sur un maximum de 2 semaines. Avantages Salariaux

10 jours de RTT par an

Allocation repas ou Titre restaurant presque intégralement pris en charge

Mutuelle Santé Famille

Compte Epargne Temps

Participation et Intéressement

Prime de cooptation de 1000 ou 1500 €

Prime de vacances

Prime Transport de 200 € net par an et 50 € brut mensuel.
Qui sommes-nous

AViSTO est une société d’ingénierie logicielle, fondée et managée par des ingénieurs.
Nous sommes spécialisés dans la réalisation de solutions logicielles dans le monde des systèmes d’informations et des applications industrielles .

Notre savoir-faire nous permet de développer des produits complets , sur mesure , pour nos clients (web, client lourd, mobile) et de les accompagner sur les métiers connexes tels que le DevOps , le Cloud , la Data ou encore l’ UX / UI .

Rejoindre AViSTO, c’est intégrer une communauté de spécialistes , passionnés par leurs métiers et les nouvelles technologies.

Vous aimez relever des défis techniques ? Vous avez envie d’évoluer dans une ambiance humaine , bienveillante et responsabilisante ? D’intégrer une structure familiale, présentant les avantages d’un grand groupe ?

Alors, n’hésitez plus : postulez et rencontrons-nous !
&nbsp;",Indeed
497,Architecte Logiciel (H/F),"Vos missions principales

 Conception & Développement

 * Concevoir et développer des logiciels innovants 
 * Réaliser des analyses fonctionnelles précises 
 * Développer des interfaces Homme-Machine ergonomiques 

 Architecture logicielle

 * Définir et faire évoluer l'architecture des outils 
 * Contribuer à la validation et à l'amélioration continue des solutions 

 Qualité Logiciel

 * Être responsable de la Qualité Logiciel pour l'ensemble de la société 
 * Maintenir et enrichir le référentiel Qualité et Sécurité interne 
 * Assurer la sensibilisation et la communication (intégration des nouveaux, évolutions de poste.) 
 * Réaliser des audits internes et bilans qualité réguliers 

 Administration & Support

 * Administrer les gestionnaires d'anomalies (Bugzilla, YouTrack) 
 * Administrer les gestionnaires de versions (SVN, Git) 
 * Produire et suivre les indicateurs annuels de performance logicielle 

 Profil recherché

 Formation : Bac+5 en informatique ou équivalent
 Compétences techniques attendues :

 * Java, JUnit, Eclipse, Spring 
 * Swing, JavaFX 
 * Angular, Node.js, Typescript 
 * SQL 

 Soft skills :

 * Sens de l'organisation et rigueur 
 * Capacité d'analyse et vision globale 
 * Bon relationnel pour travailler en interface avec différentes équipes 

 Ce que propose notre client :
 rémunération : Entre 50,000 et 60,000 € brut/an selon exp. 

 Un poste stratégique et unique au sein de l'entreprise
 Des projets stimulants, variés et à fort enjeu
 Une stabilité (poste basé au siège, sans déplacements réguliers)
 Une ambiance de travail innovante et collaborative 

Poste basé à Orsay
 Habilitation défense requise sur ce poste

 Vous avez envie d'être à la croisée de l'innovation logicielle et de la qualité stratégique ?

 Postulez dès maintenant et participez activement à la transformation digitale d'une entreprise en pointe sur son secteur !",France Travail
