,Data Scientist,Data/IA - Non spécifié,Data Consultant,Data Manager,Data Analyst,BI Analyst,Data Engineer,MLOps Engineer,Analytics Engineer,Data Architect,ML Engineer,AI Engineer,Computer Vision Engineer,AI Research Scientist
Data Scientist,1.0000001192092896,0.9671067595481873,0.9693149924278259,0.9275693893432617,0.9115882515907288,0.9287563562393188,0.9172961115837097,0.912043571472168,0.9303268790245056,0.9292948246002197,0.9307816028594971,0.9711627960205078,0.9744258522987366,0.9784581661224365
Data/IA - Non spécifié,0.9671067595481873,1.0,0.9766709804534912,0.9674778580665588,0.9523639678955078,0.9603744745254517,0.933258056640625,0.9142845273017883,0.9231495261192322,0.959740161895752,0.9507541060447693,0.9727139472961426,0.9314357042312622,0.9830726981163025
Data Consultant,0.9693149924278259,0.9766709804534912,1.0,0.9624313712120056,0.9602887630462646,0.9653772115707397,0.9466995000839233,0.9255694150924683,0.919952392578125,0.9510606527328491,0.9292487502098083,0.9796431064605713,0.9337205290794373,0.9842363595962524
Data Manager,0.9275693893432617,0.9674778580665588,0.9624313712120056,0.9999999403953552,0.9684594869613647,0.9753714799880981,0.9674562215805054,0.9292745590209961,0.9186705350875854,0.9487487077713013,0.9200618267059326,0.9569087028503418,0.8799471855163574,0.9510780572891235
Data Analyst,0.9115882515907288,0.9523639678955078,0.9602887630462646,0.9684594869613647,1.0,0.9755935668945312,0.9500535726547241,0.8988815546035767,0.8955660462379456,0.939922034740448,0.8843938708305359,0.9342987537384033,0.8590975999832153,0.9358304738998413
BI Analyst,0.9287563562393188,0.9603744745254517,0.9653772115707397,0.9753714799880981,0.9755935668945312,1.0,0.9397624135017395,0.9094367027282715,0.9174783229827881,0.9553956985473633,0.8998813033103943,0.9483331441879272,0.883595883846283,0.9524788856506348
Data Engineer,0.9172961115837097,0.933258056640625,0.9466995000839233,0.9674562215805054,0.9500535726547241,0.9397624135017395,1.0,0.9472517967224121,0.9008064270019531,0.9154582023620605,0.9184018969535828,0.9459235072135925,0.8867966532707214,0.927038311958313
MLOps Engineer,0.912043571472168,0.9142845273017883,0.9255694150924683,0.9292745590209961,0.8988815546035767,0.9094367027282715,0.9472517967224121,0.9999999403953552,0.8849612474441528,0.9246584177017212,0.9336684346199036,0.9332062602043152,0.9043705463409424,0.9158066511154175
Analytics Engineer,0.9303268790245056,0.9231495261192322,0.919952392578125,0.9186705350875854,0.8955660462379456,0.9174783229827881,0.9008064270019531,0.8849612474441528,1.0000001192092896,0.9068344831466675,0.9135473966598511,0.9314619302749634,0.9138134717941284,0.9264622926712036
Data Architect,0.9292948246002197,0.959740161895752,0.9510606527328491,0.9487487077713013,0.939922034740448,0.9553956985473633,0.9154582023620605,0.9246584177017212,0.9068344831466675,1.0,0.9364068508148193,0.950278103351593,0.9002076387405396,0.9488729238510132
ML Engineer,0.9307816028594971,0.9507541060447693,0.9292487502098083,0.9200618267059326,0.8843938708305359,0.8998813033103943,0.9184018969535828,0.9336684346199036,0.9135473966598511,0.9364068508148193,1.0,0.9451388716697693,0.9354265332221985,0.9459527134895325
AI Engineer,0.9711627960205078,0.9727139472961426,0.9796431064605713,0.9569087028503418,0.9342987537384033,0.9483331441879272,0.9459235072135925,0.9332062602043152,0.9314619302749634,0.950278103351593,0.9451388716697693,1.0000001192092896,0.9442777633666992,0.9740062952041626
Computer Vision Engineer,0.9744258522987366,0.9314357042312622,0.9337205290794373,0.8799471855163574,0.8590975999832153,0.883595883846283,0.8867966532707214,0.9043705463409424,0.9138134717941284,0.9002076387405396,0.9354265332221985,0.9442777633666992,1.0,0.9528820514678955
AI Research Scientist,0.9784581661224365,0.9830726981163025,0.9842363595962524,0.9510780572891235,0.9358304738998413,0.9524788856506348,0.927038311958313,0.9158066511154175,0.9264622926712036,0.9488729238510132,0.9459527134895325,0.9740062952041626,0.9528820514678955,1.000000238418579
